DATE,FCCFFI232.PV,FCCFPC175.MV,FCCFPC175.PV,FCCGAI008.PV,FCCGDI501AM.PV,FCCGDI501M.PV,FCCGDI502AM.PV,FCCGDI502M.PV,FCCGFC014.MV,FCCGFC014.PV,FCCGFC028.MV,FCCGFC028.PV,FCCGFC030.PV,FCCGFI004.PV,FCCGHI020.PV,FCCGKP501M.PV,FCCGLC040.PV,FCCGLC501.MV,FCCGLC501.PV,FCCGLI015.PV,FCCGLI510.PV,FCCGPC039.PV,FCCGPDI510.PV,FCCGPI009.PV,FCCGPI022.PV,FCCGPI023.PV,FCCGPI025.PV,FCCGPI501.PV,FCCGPI503.PV,FCCGPI504.PV,FCCGPI505.PV,FCCGPI508.PV,FCCGPI509.PV,FCCGPI511.PV,FCCGPI512.PV,FCCGTI012.PV,FCCGTI037.PV,FCCGTI501M.PV,FCCGTI502M.PV,FCCGTI503M.PV,FCCGTI504M.PV,FCCGTI505AM.PV,FCCGTI505M.PV,FCCGTI506M.PV,FCCGTI507M.PV,FCCGTI508M.PV,FCCGTI509M.PV,FCCGTI510M.PV,FCCGTI511M.PV,FCCGTI512M.PV,FCCGTI513M.PV,FCCGTI514M.PV,FCCGTI518M.PV,FCCGTI521M.PV,FCCGTI522M.PV,FCCGTI523M.PV,FCCGTI528.PV,FCCGTI528M.PV,FCCGTI529M.PV,FCCGYI501M.PV,FCCGYI502.PV,FCCGYI502M.PV,FCCGYI503.PV,FCCGYI503M.PV,FCCGYI504.PV,FCCGYI504M.PV,FCCGYI505.PV,FCCGYI505M.PV,FCCGYI506.PV,FCCGYI506M.PV,FCCGYI507M.PV,FCCGYI508.PV,FCCGYI508M.PV,FCCAGPI604_P.PV,FCCGFI600.PV
10/5/19 17:15,2598.242,82.1,1.55,0.7,0.131493,0.143452,-0.000606519,0.071707,99.951,671.24,100,402.7,174.162,155,63.7,10645.8,39.5293,19.2,60,-0.7,59,5.454,6656.9,7.805,6.1,5.4,13.2,10.4,2.3,9.8,16.6,-0.837454,-0.1,3.2,2.6,59.3,47.6,46.9818,68.974,50.9789,0,50.9789,0,60.9752,76.9706,60.9752,61.9751,71.9713,70.9715,51.9788,51.9788,52.9786,104.99,104.99,45.9952,47.994,318.3,318.216,59.9945,28.1532,35.76,35.544,32.7,32.5287,40.2,40.0626,24.8,24.6882,26.37,26.2105,14.5186,14.8041,14.703,,
10/5/19 17:20,2598.261,82.3,1.55,0.7,0.130728,0.142778,-0.000606519,0.0714754,99.951,675.5,100,405,173.812,153.7,64.1,10660.4,40.4124,21.1,60.1,-0.8,59,5.46,6670.1,7.851,6.1,5.4,13.2,10.3,2.3,9.8,16.6,-0.839097,-0.1,3.2,2.6,59.1,47.6,46.9818,68.974,50.9789,0,50.9789,0,60.9752,76.9706,60.9752,61.9751,72.2671,70.9715,51.9788,51.9788,52.9786,104.99,104.99,45.9952,47.994,318.2,318.111,59.4498,28.1429,35.78,35.5617,32.7,32.6007,40.3,40.1827,24.5,24.3577,26.07,25.8879,14.2661,14.5054,14.3849,,
10/5/19 17:25,2605.126,82.2,1.55,0.7,0.131157,0.143145,-0.000606519,0.071542,99.951,673.74,100,404.3,176.099,155.7,64,10656.6,39.6468,19.7,59.8,-0.8,58.9,5.458,6658.6,7.84,6.1,5.4,13.2,10.4,2.3,9.9,16.6,-0.838004,-0.1,3.2,2.6,59.1,47.6,46.9818,68.974,50.9789,0,50.9789,0,60.9752,76.9706,60.9752,61.9751,71.9752,70.9715,51.9788,51.9788,52.9786,104.99,104.99,45.995,47.994,318.3,318.813,59.8502,28.1662,35.82,35.6157,32.7,32.5763,40.2,40.1173,24.4,24.2945,25.92,25.7641,14.2032,14.3662,14.2256,,
10/5/19 17:30,2604.156,81.9,1.55,0.7,0.131072,0.143066,-0.000606519,0.071574,99.951,667.32,100,402.1,174.963,153.7,63.4,10637.4,40.0446,20.4,60.2,-0.8,58.8,5.455,6671.8,7.761,6.1,5.4,13.2,10.3,2.3,9.8,16.5,-0.839354,-0.1,3.2,2.6,59.1,47.5,46.9818,68.974,50.9789,0,50.9789,0,60.9752,76.9706,60.9752,61.9751,71.9713,70.9715,51.9788,51.9788,52.9786,104.99,104.99,45.6436,47.994,318.3,318.129,59.7466,28.1146,35.65,35.4673,32.7,32.555,40.3,40.1499,24.5,24.3951,25.91,25.7472,14.184,14.3522,14.2395,,
10/5/19 17:35,2603.704,81.8,1.55,0.7,0.130926,0.142846,-0.000606519,0.0715784,99.951,666.61,100,401,174.748,153.3,63.3,10627.8,40.1415,20.6,59.7,-0.8,58.8,5.453,6664.8,7.734,6,5.4,13.2,10.3,2.3,9.8,16.5,-0.841042,-0.1,3.2,2.6,58.8,47.4,46.9818,68.974,50.9789,0,50.9789,0,60.9752,76.9706,60.9752,61.9751,71.9713,70.9715,51.9788,51.9788,52.9786,104.99,104.99,45.9099,47.994,317.9,317.977,59.2713,28.1089,35.68,35.521,32.7,32.5423,40.2,40.1169,24.7,24.6144,26.1,25.929,14.3059,14.559,14.4237,,
10/5/19 17:40,2602.433,82,1.55,0.7,0.131506,0.143475,-0.000606519,0.0715169,99.951,668.08,100,402.3,176.442,154.6,63.5,10640.4,39.8045,19.8,60.3,-0.8,58.7,5.456,6669.4,7.79,6.1,5.4,13.2,10.4,2.3,9.9,16.6,-0.836576,-0.1,3.2,2.6,59.2,47.5,46.9818,68.974,50.9789,0,50.9789,0,60.9752,76.9706,60.9752,61.9751,71.9713,70.9715,51.9788,51.9788,52.9786,104.99,104.99,45.9224,47.994,317.5,317.834,59.9945,28.1382,35.73,35.5304,32.8,32.5909,40.2,40.113,25.2,25.0183,26.47,26.3161,14.6715,15.1118,15.0008,,
10/5/19 17:45,2605.743,82.2,1.55,0.6,0.131844,0.143807,-0.000606519,0.071504,99.951,669.45,100,403.4,175.477,156,63.9,10656.7,40.1968,21.3,59.8,-0.8,58.7,5.461,6667.2,7.834,6.1,5.4,13.2,10.5,2.3,10,16.7,-0.834706,-0.1,3.2,2.6,59.6,47.5,46.9818,68.974,50.9789,0,50.9789,0,60.9752,76.9706,60.9752,61.9751,71.9713,70.9715,51.9788,51.9788,52.9786,104.99,104.99,45.7541,47.994,317.5,317.954,59.9945,28.169,35.77,35.5845,32.8,32.6258,40.3,40.1607,25.5,25.391,26.95,26.7723,14.9718,15.4982,15.389,,
10/5/19 17:50,2603.599,82.2,1.55,0.6,0.131474,0.143417,-0.000606519,0.0713833,99.951,669.66,100,404.1,175.066,153.5,63.9,10656.6,39.7154,19.3,60.1,-0.8,58.7,5.462,6671.1,7.814,6.1,5.4,13.2,10.5,2.3,10,16.7,-0.837254,-0.1,3.2,2.6,59.4,47.5,46.9818,68.974,50.9789,0,50.9789,0,60.9752,76.9706,60.9752,61.9751,72.2691,70.9715,51.9788,51.9788,52.9786,104.99,104.99,45.9776,47.994,317.8,317.977,59.9945,28.1569,35.77,35.5324,32.7,32.574,40.2,40.1346,25.3,25.1442,26.77,26.6019,14.7154,15.0724,14.9695,,
10/5/19 17:55,2608.262,82.2,1.55,0.6,0.131102,0.14309,-0.000606519,0.0713713,99.951,674.92,100,405.9,174.037,155.2,64,10659.2,40.497,21.2,60,-0.8,58.7,5.46,6674.5,7.86,6.1,5.4,13.2,10.5,2.3,10,16.6,-0.837605,-0.1,3.2,2.6,59.3,47.6,46.9818,68.974,50.9789,0,50.9789,0,60.9752,76.9706,60.9752,61.9751,72.9712,70.9715,51.9788,51.9788,52.9786,104.99,104.99,45.5536,47.994,318.2,318.161,59.9945,28.1683,35.73,35.5732,32.8,32.6204,40.3,40.2083,24.7,24.5555,26.21,26.044,14.3178,14.5391,14.4407,,
10/5/19 18:00,2606.924,82.2,1.55,0.6,0.131142,0.143152,-0.000606519,0.0713524,99.951,675.63,100,405.8,174.535,154.6,63.9,10653.7,39.531,19.5,59.9,-0.8,58.6,5.457,6660.4,7.852,6.1,5.4,13.1,10.5,2.3,9.9,16.6,-0.838819,-0.1,3.2,2.6,59.3,47.6,46.9818,68.974,50.9789,0,50.9789,0,60.9752,76.9706,60.9752,61.9751,72.9712,70.9715,51.9788,51.9788,53.7692,104.99,104.99,45.434,47.994,318.5,318.268,59.9945,28.1345,35.76,35.6122,32.7,32.5788,40.3,40.1496,24.6,24.4129,26.07,25.9059,14.2305,14.4323,14.3246,,
