FCCFFI232.PV,FCCFPC175.MV,FCCFPC175.PV,FCCGAI008.PV,FCCGDI501AM.PV,FCCGDI501M.PV,FCCGDI502M.PV,FCCGFC014.PV,FCCGFC028.MV,FCCGFC028.PV,FCCGFC030.PV,FCCGFI004.PV,FCCGLC040.PV,FCCGLC501.MV,FCCGLC501.PV,FCCGLI015.PV,FCCGPC039.PV,FCCGPDI510.PV,FCCGPI022.PV,FCCGPI023.PV,FCCGPI025.PV,FCCGPI501.PV,FCCGPI505.PV,FCCGPI508.PV,FCCGPI509.PV,FCCGPI511.PV,FCCGPI512.PV,FCCGTI012.PV,FCCGTI037.PV,FCCGTI501M.PV,FCCGTI502M.PV,FCCGTI503M.PV,FCCGTI505AM.PV,FCCGTI506M.PV,FCCGTI507M.PV,FCCGTI508M.PV,FCCGTI509M.PV,FCCGTI510M.PV,FCCGTI511M.PV,FCCGTI514M.PV,FCCGTI518M.PV,FCCGTI521M.PV,FCCGTI522M.PV,FCCGTI528.PV,FCCGTI529M.PV,FCCGYI501M.PV,FCCGYI502.PV,FCCGYI503.PV,FCCGYI504.PV,FCCGYI505.PV,FCCGYI507M.PV,FCCGYI508.PV
2598.242,82.1,1.55,0.7,0.131493,0.143452,0.071707,671.24,100,402.7,174.162,155,39.5293,19.2,60,-0.7,5.454,6656.9,6.1,5.4,13.2,10.4,16.6,-0.837454,-0.1,3.2,2.6,59.3,47.6,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,71.9713,70.9715,52.9786,104.99,104.99,45.9952,318.3,59.9945,28.1532,35.76,32.7,40.2,24.8,14.5186,14.8041
2598.261,82.3,1.55,0.7,0.130728,0.142778,0.0714754,675.5,100,405,173.812,153.7,40.4124,21.1,60.1,-0.8,5.46,6670.1,6.1,5.4,13.2,10.3,16.6,-0.839097,-0.1,3.2,2.6,59.1,47.6,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,72.2671,70.9715,52.9786,104.99,104.99,45.9952,318.2,59.4498,28.1429,35.78,32.7,40.3,24.5,14.2661,14.5054
2605.126,82.2,1.55,0.7,0.131157,0.143145,0.071542,673.74,100,404.3,176.099,155.7,39.6468,19.7,59.8,-0.8,5.458,6658.6,6.1,5.4,13.2,10.4,16.6,-0.838004,-0.1,3.2,2.6,59.1,47.6,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,71.9752,70.9715,52.9786,104.99,104.99,45.995,318.3,59.8502,28.1662,35.82,32.7,40.2,24.4,14.2032,14.3662
2604.156,81.9,1.55,0.7,0.131072,0.143066,0.071574,667.32,100,402.1,174.963,153.7,40.0446,20.4,60.2,-0.8,5.455,6671.8,6.1,5.4,13.2,10.3,16.5,-0.839354,-0.1,3.2,2.6,59.1,47.5,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,71.9713,70.9715,52.9786,104.99,104.99,45.6436,318.3,59.7466,28.1146,35.65,32.7,40.3,24.5,14.184,14.3522
2603.704,81.8,1.55,0.7,0.130926,0.142846,0.0715784,666.61,100,401,174.748,153.3,40.1415,20.6,59.7,-0.8,5.453,6664.8,6,5.4,13.2,10.3,16.5,-0.841042,-0.1,3.2,2.6,58.8,47.4,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,71.9713,70.9715,52.9786,104.99,104.99,45.9099,317.9,59.2713,28.1089,35.68,32.7,40.2,24.7,14.3059,14.559
2602.433,82,1.55,0.7,0.131506,0.143475,0.0715169,668.08,100,402.3,176.442,154.6,39.8045,19.8,60.3,-0.8,5.456,6669.4,6.1,5.4,13.2,10.4,16.6,-0.836576,-0.1,3.2,2.6,59.2,47.5,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,71.9713,70.9715,52.9786,104.99,104.99,45.9224,317.5,59.9945,28.1382,35.73,32.8,40.2,25.2,14.6715,15.1118
2605.743,82.2,1.55,0.6,0.131844,0.143807,0.071504,669.45,100,403.4,175.477,156,40.1968,21.3,59.8,-0.8,5.461,6667.2,6.1,5.4,13.2,10.5,16.7,-0.834706,-0.1,3.2,2.6,59.6,47.5,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,71.9713,70.9715,52.9786,104.99,104.99,45.7541,317.5,59.9945,28.169,35.77,32.8,40.3,25.5,14.9718,15.4982
2603.599,82.2,1.55,0.6,0.131474,0.143417,0.0713833,669.66,100,404.1,175.066,153.5,39.7154,19.3,60.1,-0.8,5.462,6671.1,6.1,5.4,13.2,10.5,16.7,-0.837254,-0.1,3.2,2.6,59.4,47.5,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,72.2691,70.9715,52.9786,104.99,104.99,45.9776,317.8,59.9945,28.1569,35.77,32.7,40.2,25.3,14.7154,15.0724
2608.262,82.2,1.55,0.6,0.131102,0.14309,0.0713713,674.92,100,405.9,174.037,155.2,40.497,21.2,60,-0.8,5.46,6674.5,6.1,5.4,13.2,10.5,16.6,-0.837605,-0.1,3.2,2.6,59.3,47.6,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,72.9712,70.9715,52.9786,104.99,104.99,45.5536,318.2,59.9945,28.1683,35.73,32.8,40.3,24.7,14.3178,14.5391
2606.924,82.2,1.55,0.6,0.131142,0.143152,0.0713524,675.63,100,405.8,174.535,154.6,39.531,19.5,59.9,-0.8,5.457,6660.4,6.1,5.4,13.1,10.5,16.6,-0.838819,-0.1,3.2,2.6,59.3,47.6,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,72.9712,70.9715,53.7692,104.99,104.99,45.434,318.5,59.9945,28.1345,35.76,32.7,40.3,24.6,14.2305,14.4323
