,Target
0,0.0
1,0.0
2,-28.80000000000041
3,-28.80000000000041
4,0.0
5,-28.799999999998363
6,0.0
7,0.0
8,0.0
9,-28.80000000000041
10,0.0
11,0.0
12,0.0
13,-28.80000000000041
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,-28.799999999998363
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,-28.800000000002456
33,-28.799999999998363
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,-28.800000000002456
40,-28.800000000002456
41,-28.800000000002456
42,-28.799999999998363
43,0.0
44,0.0
45,0.0
46,-28.799999999998363
47,0.0
48,-28.800000000002456
49,0.0
50,0.0
51,0.0
52,0.0
53,-28.799999999998363
54,0.0
55,-28.800000000002456
56,-28.800000000002456
57,-28.800000000002456
58,-14.400000000001228
59,0.0
60,-28.800000000002456
61,0.0
62,0.0
63,0.0
64,0.0
65,-28.799999999998363
66,0.0
67,0.0
68,0.0
69,0.0
70,-28.799999999998363
71,0.0
72,0.0
73,-14.399999999999181
74,-28.799999999998363
75,0.0
76,0.0
77,-28.800000000002456
78,0.0
79,0.0
80,0.0
81,-28.799999999998363
82,0.0
83,0.0
84,-28.800000000002456
85,0.0
86,-28.799999999998363
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,-28.799999999998363
95,0.0
96,0.0
97,0.0
98,-28.800000000002456
99,0.0
100,0.0
101,0.0
102,-28.800000000002456
103,0.0
104,0.0
105,-28.799999999998363
106,0.0
107,-28.800000000002456
108,0.0
109,0.0
110,-28.799999999998363
111,-28.799999999998363
112,-28.799999999998363
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,-57.60000000000082
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,-28.799999999998363
132,0.0
133,0.0
134,-28.80000000000041
135,0.0
136,0.0
137,-14.400000000000205
138,-28.80000000000041
139,0.0
140,-28.80000000000041
141,0.0
142,-28.80000000000041
143,0.0
144,0.0
145,-28.80000000000041
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,-28.799999999998363
152,0.0
153,-28.80000000000041
154,0.0
155,0.0
156,0.0
157,-28.80000000000041
158,0.0
159,0.0
160,0.0
161,-28.80000000000041
162,0.0
163,0.0
164,0.0
165,-28.80000000000041
166,0.0
167,0.0
168,0.0
169,-28.799999999998363
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,-28.80000000000041
176,0.0
177,0.0
178,0.0
179,-28.80000000000041
180,0.0
181,-28.80000000000041
182,0.0
183,0.0
184,0.0
185,-28.80000000000041
186,-28.80000000000041
187,-28.80000000000041
188,0.0
189,-28.80000000000041
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,-28.799999999998363
199,-28.799999999998363
200,-28.799999999998363
201,-28.799999999998363
202,-28.799999999998363
203,-28.80000000000041
204,0.0
205,0.0
206,0.0
207,0.0
208,-28.80000000000041
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,-28.80000000000041
216,0.0
217,0.0
218,0.0
219,0.0
220,-28.80000000000041
221,0.0
222,0.0
223,-14.400000000000205
224,-28.80000000000041
225,0.0
226,0.0
227,0.0
228,0.0
229,-28.799999999998363
230,0.0
231,0.0
232,0.0
233,0.0
234,-28.80000000000041
235,0.0
236,-28.80000000000041
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,-28.80000000000041
244,0.0
245,0.0
246,-28.80000000000041
247,0.0
248,0.0
249,0.0
250,0.0
251,-28.799999999998363
252,0.0
253,-28.80000000000041
254,0.0
255,0.0
256,0.0
257,0.0
258,-28.80000000000041
259,0.0
260,0.0
261,-28.80000000000041
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,-28.80000000000041
268,0.0
269,0.0
270,0.0
271,0.0
272,-28.799999999998363
273,0.0
274,0.0
275,0.0
276,-28.80000000000041
277,0.0
278,0.0
279,-28.80000000000041
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,-28.80000000000041
286,0.0
287,0.0
288,0.0
289,-28.80000000000041
290,0.0
291,0.0
292,-28.799999999998363
293,0.0
294,-28.80000000000041
295,-28.80000000000041
296,-28.80000000000041
297,0.0
298,0.0
299,0.0
300,0.0
301,-28.80000000000041
302,0.0
303,-28.80000000000041
304,0.0
305,0.0
306,0.0
307,0.0
308,-28.80000000000041
309,0.0
310,0.0
311,0.0
312,0.0
313,-28.799999999998363
314,0.0
315,0.0
316,0.0
317,-28.80000000000041
318,0.0
319,-28.80000000000041
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,-28.80000000000041
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,-28.80000000000041
332,0.0
333,-28.799999999998363
334,0.0
335,0.0
336,0.0
337,-28.80000000000041
338,0.0
339,0.0
340,-28.80000000000041
341,0.0
342,0.0
343,0.0
344,-28.80000000000041
345,0.0
346,-28.80000000000041
347,0.0
348,0.0
349,0.0
350,-28.799999999998363
351,0.0
352,0.0
353,-28.80000000000041
354,-28.80000000000041
355,-28.80000000000041
356,0.0
357,0.0
358,0.0
359,0.0
360,-28.80000000000041
361,0.0
362,0.0
363,0.0
364,0.0
365,-28.80000000000041
366,-14.400000000000205
367,0.0
368,0.0
369,-28.80000000000041
370,0.0
371,0.0
372,-28.80000000000041
373,0.0
374,0.0
375,0.0
376,-28.799999999998363
377,0.0
378,0.0
379,0.0
380,-28.80000000000041
381,0.0
382,0.0
383,0.0
384,0.0
385,-28.80000000000041
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,-28.80000000000041
392,0.0
393,0.0
394,0.0
395,-57.60000000000082
396,0.0
397,0.0
398,0.0
399,-28.799999999998363
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,-28.80000000000041
412,0.0
413,0.0
414,-28.80000000000041
415,0.0
416,0.0
417,0.0
418,-28.80000000000041
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,-28.80000000000041
427,-28.799999999998363
428,0.0
429,0.0
430,0.0
431,-14.399999999999181
432,-28.799999999998363
433,0.0
434,0.0
435,0.0
436,-28.80000000000041
437,0.0
438,0.0
439,-28.80000000000041
440,-28.80000000000041
441,-28.80000000000041
442,0.0
443,-28.80000000000041
444,0.0
445,-28.80000000000041
446,0.0
447,0.0
448,0.0
449,-28.80000000000041
450,-28.799999999998363
451,0.0
452,0.0
453,0.0
454,-28.80000000000041
455,-14.400000000000205
456,0.0
457,-28.80000000000041
458,0.0
459,0.0
460,0.0
